#                DFT          |                 REELS
#E(eV)   eps1    eps2     ELF    E(eV)    eps1    eps2    ELF   w_b(meV-1) w_s(a.u.))
#
0.50     -289.567     59.936     0.001     0.50     -404.801     127.357     0.001     0.0     0.7
0.75     -126.211     18.250     0.001     0.75     -184.411     40.136     0.001     -0.1     1.0
1.00     -67.156     7.925     0.002     1.00     -101.906     17.819     0.002     -0.1     1.3
1.25     -39.078     4.353     0.003     1.25     -62.665     9.848     0.002     -0.1     1.7
1.50     -23.319     3.240     0.006     1.50     -41.020     6.436     0.004     -0.1     2.0
1.75     -13.471     3.246     0.017     1.75     -27.810     4.844     0.006     -0.2     2.2
2.00     -6.685     4.448     0.069     2.00     -19.125     4.117     0.011     -0.2     3.7
2.25     -3.447     6.621     0.119     2.25     -13.069     3.878     0.021     -0.3     9.4
2.50     -2.222     7.642     0.121     2.50     -8.644     3.982     0.044     0.5     23.3
2.75     -1.594     7.866     0.122     2.75     -5.295     4.395     0.093     3.6     47.0
3.00     -0.992     7.826     0.126     3.00     -2.745     5.158     0.151     7.8     70.0
3.25     -0.804     7.923     0.125     3.25     -0.957     6.339     0.154     8.9     79.1
3.50     -0.873     7.627     0.129     3.50     -0.164     7.883     0.127     7.2     74.3
3.75     -0.860     7.164     0.138     3.75     -0.693     9.258     0.107     5.1     64.3
4.00     -0.875     6.684     0.147     4.00     -2.154     9.472     0.100     3.7     56.8
4.25     -0.788     5.930     0.166     4.25     -3.269     8.378     0.104     3.3     54.4
4.50     -0.353     5.329     0.187     4.50     -3.440     6.919     0.116     3.4     56.3
4.75     0.150     4.966     0.201     4.75     -2.997     5.754     0.137     4.1     61.6
5.0     0.608     4.916     0.200     5.0     -2.340     4.989     0.164     5.0     68.3
5.5     0.829     4.688     0.207     5.5     -1.087     4.311     0.218     6.7     78.4
6.0     1.382     4.384     0.207     6.0     -0.233     4.272     0.233     7.0     79.5
6.5     1.892     5.251     0.169     6.5     0.118     4.495     0.222     6.2     75.4
7.0     0.873     5.129     0.189     7.0     0.001     4.630     0.216     6.0     69.4
7.5     0.862     5.182     0.188     7.5     -0.297     4.429     0.225     6.6     64.1
8.0     0.075     4.448     0.225     8.0     -0.447     3.991     0.247     6.8     62.8
8.5     0.197     4.113     0.243     8.5     -0.400     3.552     0.278     6.7     63.6
9.0     -0.027     3.736     0.268     9.0     -0.257     3.219     0.309     7.5     61.0
9.5     -0.045     3.166     0.316     9.5     -0.100     2.988     0.334     8.7     54.8
10.0     0.218     2.715     0.366     10.0     0.033     2.828     0.354     9.3     49.8
10.5     0.586     2.532     0.375     10.5     0.132     2.711     0.368     9.4     48.5
11.0     0.710     2.411     0.382     11.0     0.198     2.615     0.380     9.8     46.2
11.5     1.026     2.460     0.346     11.5     0.238     2.526     0.392     10.4     41.6
12.0     0.868     2.629     0.343     12.0     0.260     2.437     0.406     10.2     39.5
12.5     0.976     2.418     0.356     12.5     0.273     2.344     0.421     9.7     38.7
13.0     0.936     2.663     0.334     13.0     0.284     2.246     0.438     10.2     36.0
13.5     0.719     2.480     0.372     13.5     0.297     2.145     0.457     11.0     32.5
14.0     0.710     2.302     0.397     14.0     0.318     2.045     0.478     11.2     30.7
14.5     0.749     2.157     0.414     14.5     0.347     1.947     0.498     11.3     29.6
15.0     0.822     2.050     0.420     15.0     0.385     1.856     0.517     11.8     28.3
15.5     0.918     2.002     0.413     15.5     0.435     1.774     0.532     12.2     26.0
16.0     0.957     2.013     0.405     16.0     0.494     1.705     0.541     12.9     22.6
16.5     0.979     1.915     0.414     16.5     0.563     1.654     0.542     12.6     21.8
17.0     1.123     1.856     0.394     17.0     0.642     1.626     0.532     11.7     23.1
17.5     1.265     1.878     0.366     17.5     0.726     1.633     0.511     11.7     21.6
18.0     1.549     1.981     0.313     18.0     0.806     1.687     0.483     12.2     19.0
18.5     1.333     2.627     0.303     18.5     0.854     1.807     0.452     12.2     17.9
19.0     1.224     2.851     0.296     19.0     0.808     1.994     0.431     11.6     18.0
19.5     0.924     3.245     0.285     19.5     0.588     2.164     0.430     11.0     19.1
20.0     0.410     2.595     0.376     20.0     0.240     2.144     0.461     10.9     20.1
20.5     0.206     2.691     0.369     20.5     -0.020     1.904     0.525     11.2     20.1
21.0     -0.246     2.502     0.396     21.0     -0.098     1.614     0.617     11.4     19.7
21.5     -0.328     2.084     0.468     21.5     -0.064     1.381     0.723     11.9     18.7
22.0     -0.293     1.690     0.574     22.0     0.012     1.214     0.823     13.4     16.7
22.5     -0.164     1.513     0.653     22.5     0.097     1.097     0.905     14.8     15.9
23.0     -0.069     1.333     0.748     23.0     0.179     1.013     0.957     15.0     17.9
23.5     0.052     1.111     0.898     23.5     0.256     0.951     0.980     15.0     19.0
24.0     0.291     1.093     0.854     24.0     0.327     0.906     0.976     15.9     15.0
24.5     0.373     1.152     0.786     24.5     0.394     0.874     0.951     17.2     10.0
25.0     0.396     1.105     0.802     25.0     0.455     0.854     0.912     17.5     9.5
25.5     0.485     1.084     0.769     25.5     0.514     0.844     0.865     17.1     10.5
26.0     0.522     1.161     0.717     26.0     0.567     0.847     0.815     16.6     9.8
26.5     0.590     1.032     0.730     26.5     0.614     0.864     0.769     15.9     9.2
27.0     0.783     1.113     0.601     27.0     0.650     0.897     0.731     15.7     8.8
27.5     0.895     1.384     0.509     27.5     0.665     0.945     0.708     15.8     8.3
28.0     0.590     1.614     0.547     28.0     0.645     1.001     0.706     15.4     7.7
28.5     0.363     1.543     0.614     28.5     0.583     1.039     0.732     14.7     7.7
29.0     0.331     1.436     0.661     29.0     0.497     1.032     0.786     14.5     8.4
29.5     0.189     1.446     0.680     29.5     0.426     0.976     0.861     15.0     7.2
30.0     0.015     1.265     0.791     30.0     0.390     0.896     0.938     15.3     6.0
30.5     -0.022     1.014     0.985     30.5     0.389     0.818     0.997     15.2     5.5
31.0     0.115     0.865     1.136     31.0     0.407     0.755     1.026     15.8     4.5
31.5     0.212     0.819     1.144     31.5     0.434     0.706     1.028     16.2     4.6
32.0     0.279     0.792     1.123     32.0     0.463     0.670     1.010     16.0     5.5
32.5     0.357     0.763     1.075     32.5     0.492     0.643     0.981     16.2     4.2
33.0     0.404     0.828     0.976     33.0     0.518     0.622     0.949     16.6     2.1
33.5     0.329     0.800     1.069     33.5     0.542     0.607     0.916     16.5     1.5
34.0     0.407     0.739     1.038     34.0     0.564     0.596     0.886     16.2     1.5
34.5     0.427     0.759     1.001     34.5     0.582     0.588     0.859     15.9     0.7
35.0     0.454     0.753     0.974     35.0     0.597     0.582     0.837     15.3     0.8
35.5     0.428     0.792     0.977     35.5     0.609     0.577     0.819     14.9     1.9
36.0     0.430     0.762     0.996     36.0     0.619     0.573     0.805     15.0     1.4
36.5     0.396     0.769     1.028     36.5     0.627     0.569     0.794     14.9     -0.1
37.0     0.381     0.740     1.068     37.0     0.632     0.565     0.787     14.7     -1.1
37.5     0.340     0.708     1.148     37.5     0.635     0.560     0.781     14.6     -1.0
38.0     0.384     0.607     1.176     38.0     0.637     0.554     0.778     14.2     -1.2
38.5     0.434     0.626     1.078     38.5     0.638     0.547     0.775     13.8     -1.5
39.0     0.422     0.597     1.116     39.0     0.638     0.539     0.773     13.4     -0.5
39.5     0.444     0.581     1.087     39.5     0.638     0.530     0.770     12.9     0.8
40.0     0.469     0.563     1.049     40.0     0.639     0.519     0.766     13.2     -0.8
40.5     0.522     0.557     0.955     40.5     0.640     0.508     0.760     13.6     -3.2
41.0     0.502     0.610     0.977     41.0     0.643     0.497     0.753     13.3     -3.8
41.5     0.482     0.618     1.006     41.5     0.645     0.485     0.744     12.8     -2.6
42.0     0.465     0.585     1.047     42.0     0.649     0.474     0.734     12.5     -0.9
42.5     0.460     0.609     1.046     42.5     0.653     0.463     0.723     12.5     -0.8
43.0     0.413     0.560     1.158     43.0     0.658     0.453     0.710     12.3     -1.6
43.5     0.441     0.523     1.118     43.5     0.663     0.443     0.697     12.2     -2.4
44.0     0.440     0.542     1.113     44.0     0.668     0.433     0.683     12.5     -3.2
44.5     0.421     0.492     1.174     44.5     0.674     0.424     0.669     12.5     -3.2
45.0     0.414     0.470     1.199     45.0     0.680     0.416     0.655     11.9     -1.9
45.5     0.408     0.429     1.224     45.5     0.686     0.408     0.641     11.4     -0.7
46.0     0.442     0.386     1.121     46.0     0.691     0.401     0.628     11.4     -0.4
46.5     0.470     0.379     1.040     46.5     0.697     0.395     0.615     11.3     -1.1
47.0     0.475     0.352     1.008     47.0     0.702     0.389     0.603     11.2     -1.9
47.5     0.486     0.349     0.976     47.5     0.708     0.383     0.592     11.0     -2.0
48.0     0.488     0.305     0.921     48.0     0.713     0.378     0.581     11.0     -1.8
48.5     0.547     0.282     0.744     48.5     0.718     0.373     0.571     11.1     -2.1
49.0     0.576     0.294     0.703     49.0     0.722     0.369     0.561     10.7     -2.1
49.5     0.602     0.298     0.661     49.5     0.726     0.365     0.552     10.3     -1.9
50.0     0.608     0.299     0.652     50.0     0.730     0.361     0.544     10.2     –
50.5     0.632     0.287     0.595     50.5     0.734     0.357     0.536     10.0     –
51.0     0.651     0.313     0.600     51.0     0.738     0.354     0.528     9.9     –
51.5     0.662     0.305     0.574     51.5     0.741     0.351     0.522     9.8     –
52.0     0.700     0.319     0.539     52.0     0.744     0.347     0.515     9.4     –
52.5     0.756     0.347     0.501     52.5     0.747     0.344     0.509     9.1     –
53.0     0.700     0.435     0.640     53.0     0.749     0.342     0.504     9.5     –
53.5     0.637     0.446     0.738     53.5     0.752     0.339     0.498     9.8     –
54.0     0.600     0.422     0.784     54.0     0.754     0.336     0.493     9.0     –
54.5     0.597     0.390     0.768     54.5     0.756     0.333     0.489     8.0     –
55.0     0.612     0.371     0.725     55.0     0.757     0.331     0.484     8.2     –
55.5     0.640     0.441     0.729     55.5     0.759     0.328     0.480     9.2     –
56.0     0.511     0.404     0.953     56.0     0.760     0.325     0.476     9.1     –
56.5     0.500     0.328     0.919     56.5     0.761     0.323     0.472     8.3     –
57.0     0.543     0.290     0.765     57.0     0.762     0.320     0.468     8.3     –
