$1.23 - 1.04 i$ & $0.32 + 0.10 i$ & $0.12 - 0.11 i$ & $-0.56 - 0.14 i$ & $0.07 - 0.00 i$ & $-1.04 - 0.04 i$ & $-0.61 + 0.01 i$ & $-0.36 + 0.01 i$ \\
$3.02 - 0.98 i$ & $0.22 - 0.23 i$ & $0.00 + 0.13 i$ & $0.12 + 0.33 i$ & $0.07 - 0.00 i$ & $-1.67 - 0.11 i$ & $-0.57 - 0.13 i$ & $0.75 - 0.10 i$ \\
$5.37 - 1.16 i$ & $0.19 - 0.58 i$ & $-0.03 + 0.01 i$ & $0.13 + 0.37 i$ & $0.07 - 0.00 i$ & $-1.82 - 0.01 i$ & $-0.82 - 0.06 i$ & $1.02 - 0.05 i$ \\
$7.20 - 1.17 i$ & $0.61 + 0.10 i$ & $0.20 - 0.01 i$ & $0.34 + 0.23 i$ & $0.17 - 0.00 i$ & $-1.31 - 0.22 i$ & $-0.19 - 0.08 i$ & $0.07 - 0.02 i$ \\
$10.01 - 0.19 i$ & $0.03 - 0.01 i$ & $-0.11 - 0.25 i$ & $-0.01 + 0.15 i$ & $0.23 - 0.01 i$ & $-0.70 + 0.13 i$ & $-0.36 - 0.05 i$ & $0.55 - 0.06 i$ \\
$11.30 - 1.32 i$ & $0.00 - 0.23 i$ & $-0.05 - 0.08 i$ & $-0.21 + 0.45 i$ & $0.74 - 0.03 i$ & $-1.13 - 0.10 i$ & $-0.51 - 0.04 i$ & $-0.08 - 0.01 i$ \\
$13.83 - 1.36 i$ & $0.40 - 0.57 i$ & $0.30 - 0.28 i$ & $0.39 + 0.26 i$ & $0.35 - 0.00 i$ & $-0.92 - 0.13 i$ & $-0.50 - 0.12 i$ & $0.51 - 0.06 i$ \\
$15.50 - 1.16 i$ & $0.13 - 0.45 i$ & $0.29 - 0.05 i$ & $0.25 + 0.36 i$ & $0.59 - 0.00 i$ & $-0.22 - 0.31 i$ & $-0.42 - 0.17 i$ & $-0.03 - 0.05 i$ \\
$18.86 - 1.35 i$ & $0.29 - 0.87 i$ & $0.61 - 0.45 i$ & $0.23 + 0.27 i$ & $1.23 - 0.13 i$ & $0.34 - 0.76 i$ & $-0.18 - 0.55 i$ & $0.26 - 0.28 i$ \\
$20.86 - 1.19 i$ & $-0.02 - 0.30 i$ & $0.28 - 0.51 i$ & $-0.08 - 0.23 i$ & $1.63 - 0.02 i$ & $0.78 - 0.40 i$ & $-0.27 - 0.40 i$ & $0.21 - 0.22 i$ \\
$22.98 - 0.92 i$ & $-0.08 + 0.05 i$ & $0.07 + 0.12 i$ & $-0.02 - 0.30 i$ & $0.76 - 0.21 i$ & $-0.43 + 0.22 i$ & $-0.85 - 0.32 i$ & $0.55 - 0.34 i$ \\
$23.41 - 1.33 i$ & $-0.42 - 0.77 i$ & $0.07 - 0.45 i$ & $-0.09 - 0.17 i$ & $1.39 - 0.35 i$ & $-0.17 - 0.33 i$ & $0.06 - 0.25 i$ & $0.03 + 0.86 i$ \\
$25.00 - 1.30 i$ & $-0.26 + 0.15 i$ & $0.32 - 0.67 i$ & $-0.36 + 0.18 i$ & $1.06 - 0.13 i$ & $0.06 - 0.26 i$ & $-0.03 + 0.22 i$ & $-0.06 + 0.28 i$ \\
